AccessionNumber,Species,Geo_location,Collection_date,Host
MH507917.1,West Nile virus,"USA: Bakersfield,California",2006-07-11,Culex tarsalis
MH507918.1,West Nile virus,"USA: Bakersfield,California",2006-07-11,Culex tarsalis
MH507919.1,West Nile virus,"USA: Bakersfield,California",2006-07-11,Culex tarsalis
MH507920.1,West Nile virus,"USA: Bakersfield,California",2006-07-14,Culex quinquefasciatus
MH507921.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507922.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507923.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507924.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507925.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507926.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Culex quinquefasciatus
MH507927.1,West Nile virus,"USA: Bakersfield,California",2006-08-04,Culex quinquefasciatus
MH507928.1,West Nile virus,"USA: Bakersfield,California",2006-08-04,Culex quinquefasciatus
MH507929.1,West Nile virus,"USA: Bakersfield,California",2006-08-04,Culex quinquefasciatus
MH507930.1,West Nile virus,"USA: Bakersfield,California",2006-08-04,Culex quinquefasciatus
MH507931.1,West Nile virus,"USA: Bakersfield,California",2007-06-05,Culex tarsalis
MH507932.1,West Nile virus,"USA: Bakersfield,California",2007-06-06,Culex tarsalis
MH507933.1,West Nile virus,"USA: Bakersfield,California",2007-06-08,Culex quinquefasciatus
MH507934.1,West Nile virus,"USA: Bakersfield,California",2007-06-15,Culex quinquefasciatus
MH507935.1,West Nile virus,"USA: Bakersfield,California",2007-06-22,Culex quinquefasciatus
MH507936.1,West Nile virus,"USA: Bakersfield,California",2007-08-03,Culex quinquefasciatus
MH507937.1,West Nile virus,"USA: Bakersfield,California",2007-08-03,Culex quinquefasciatus
MH507938.1,West Nile virus,"USA: Arvin,California",2007-08-15,Culex quinquefasciatus
MH507939.1,West Nile virus,"USA: Bakersfield,California",2007-08-15,Culex quinquefasciatus
MH507940.1,West Nile virus,"USA: Greenacres,California",2007-08-15,Culex quinquefasciatus
MH507941.1,West Nile virus,"USA: Bakersfield,California",2007-08-15,Culex quinquefasciatus
MH507942.1,West Nile virus,"USA: Bakersfield,California",2007-08-15,Culex quinquefasciatus
MH507943.1,West Nile virus,"USA: Bakersfield,California",2007-08-15,Culex quinquefasciatus
MH507944.1,West Nile virus,"USA: Bakersfield,California",2007-08-17,Culex quinquefasciatus
MH507945.1,West Nile virus,"USA: Greenacres,California",2009-06-17,Culex quinquefasciatus
MH507946.1,West Nile virus,"USA: Greenacres,California",2009-06-17,Culex quinquefasciatus
MH507947.1,West Nile virus,"USA: Bakersfield,California",2009-06-30,Culex tarsalis
MH507948.1,West Nile virus,"USA: Santee,California",2008-02-06,Corvus brachyrhynchos
MH507949.1,West Nile virus,"USA: San_Diego,California",2008-05-22,Corvus brachyrhynchos
MH507950.1,West Nile virus,"USA: San_Diego,California",2008-09-05,Corvus brachyrhynchos
MH507951.1,West Nile virus,"USA: San_Diego,California",2008-09-26,Corvus brachyrhynchos
MH507952.1,West Nile virus,"USA: San_Diego,California",2009-09-29,Corvus brachyrhynchos
MH507953.1,West Nile virus,"USA: San_Diego,California",2008-12-01,Corvus brachyrhynchos
MH507954.1,West Nile virus,"USA: Ramona,California",2008-12-08,Accipiter striatus
MH507955.1,West Nile virus,"USA: Poway,California",2008-12-08,Corvus brachyrhynchos
MH507956.1,West Nile virus,"USA: El_Cajon,California",2008-12-22,Accipiter striatus
MH507957.1,West Nile virus,"USA: San_Diego,California",2009-09-15,Corvus brachyrhynchos
MH507958.1,West Nile virus,"USA: San_Diego,California",2009-09-30,Corvus brachyrhynchos
MH507959.1,West Nile virus,"USA: San_Diego,California",2009-10-09,Corvus brachyrhynchos
MH507960.1,West Nile virus,"USA: San_Diego,California",2014-08-13,Corvus brachyrhynchos
MH507961.1,West Nile virus,"USA: San_Diego,California",2014-09-23,Corvus brachyrhynchos
MH507962.1,West Nile virus,"USA: San_Diego,California",2014-11-10,Corvus brachyrhynchos
MH507963.1,West Nile virus,"USA: Ramona,California",2014-11-13,Corvus brachyrhynchos
MH507964.1,West Nile virus,"USA: San_Diego,California",2014-11-17,Corvus brachyrhynchos
MH507965.1,West Nile virus,"USA: San_Diego,California",2014-12-18,Accipitridae
MH507966.1,West Nile virus,"USA: San_Diego,California",2014-12-18,Corvus
MH507967.1,West Nile virus,"USA: San_Diego,California",2015-04-16,Corvus brachyrhynchos
MH507968.1,West Nile virus,"USA: San_Diego,California",2015-04-28,Corvus brachyrhynchos
MH507969.1,West Nile virus,"USA: San_Diego,California",2015-06-05,Corvus brachyrhynchos
MH507970.1,West Nile virus,"USA: San_Diego,California",2015-07-02,Corvus brachyrhynchos
MH507971.1,West Nile virus,"USA: San_Diego,California",2015-07-02,Corvus brachyrhynchos
MH507972.1,West Nile virus,"USA: San_Diego,California",2015-07-21,Corvus brachyrhynchos
MH507973.1,West Nile virus,"USA: San_Diego,California",2015-07-28,Aphelocoma
MH507974.1,West Nile virus,"USA: San_Diego,California",2015-08-07,Corvus brachyrhynchos
MH507975.1,West Nile virus,"USA: Mira_Mesa,California",2015-08-21,Corvus brachyrhynchos
MH507976.1,West Nile virus,"USA: San_Diego,California",2015-08-28,Corvus brachyrhynchos
MH507977.1,West Nile virus,"USA: San_Diego,California",2015-09-04,Corvus brachyrhynchos
MH507978.1,West Nile virus,"USA: San_Diego,California",2015-10-06,Corvus brachyrhynchos
MH507979.1,West Nile virus,"USA: San_Diego,California",2015-10-09,Corvus brachyrhynchos
MH507980.1,West Nile virus,"USA: San_Diego,California",2015-10-13,Corvus brachyrhynchos
MH507981.1,West Nile virus,"USA: San_Diego,California",2015-10-20,Corvus brachyrhynchos
MH507982.1,West Nile virus,"USA: San_Diego,California",2015-12-16,Accipiter striatus
MH507983.1,West Nile virus,"USA: San_Diego,California",2015-12-30,Buteo lineatus
MH507984.1,West Nile virus,"USA: Del_Mar,California",2016-03-02,Corvus brachyrhynchos
MH507985.1,West Nile virus,"USA: Escondido,California",2016-03-17,Corvus brachyrhynchos
MH507986.1,West Nile virus,"USA: San_Diego,California",2016-04-14,Corvus brachyrhynchos
MH507987.1,West Nile virus,"USA: San_Diego,California",2016-05-02,Corvus brachyrhynchos
MH507988.1,West Nile virus,"USA: Bakersfield,California",2009-07-01,Culex tarsalis
MH507989.1,West Nile virus,"USA: Bakersfield,California",2009-07-14,Culex tarsalis
MH507990.1,West Nile virus,"USA: Bakersfield,California",2009-07-14,Culex quinquefasciatus
MH507991.1,West Nile virus,"USA: Bakersfield,California",2009-07-15,Culex quinquefasciatus
MH507992.1,West Nile virus,"USA: Arvin,California",2009-07-15,Culex tarsalis
MH507993.1,West Nile virus,"USA: Bakersfield,California",2009-07-22,Culex quinquefasciatus
MH507994.1,West Nile virus,"USA: Bakersfield,California",2009-07-28,Culex quinquefasciatus
MH507995.1,West Nile virus,"USA: Greenacres,California",2009-07-29,Culex quinquefasciatus
MH507996.1,West Nile virus,"USA: Arvin,California",2009-07-30,Culex quinquefasciatus
MH507997.1,West Nile virus,"USA: Shafter,California",2009-09-04,Culex quinquefasciatus
MH507998.1,West Nile virus,"USA: Wasco,California",2009-09-04,Culex tarsalis
MH507999.1,West Nile virus,"USA: Bakersfield,California",2010-06-15,Culex quinquefasciatus
MH508000.1,West Nile virus,"USA: Bakersfield,California",2010-06-25,Culex quinquefasciatus
MH508001.1,West Nile virus,"USA: Bakersfield,California",2010-06-29,Culex quinquefasciatus
MH508002.1,West Nile virus,"USA: Bakersfield,California",2010-07-01,Culex tarsalis
MH508003.1,West Nile virus,"USA: Bakersfield,California",2010-07-01,Culex tarsalis
MH508004.1,West Nile virus,"USA: Bakersfield,California",2010-07-08,Culex quinquefasciatus
MH508005.1,West Nile virus,"USA: Bakersfield,California",2010-07-08,Culex quinquefasciatus
MH508006.1,West Nile virus,"USA: Bakersfield,California",2010-07-09,Culex quinquefasciatus
MH508007.1,West Nile virus,"USA: Bakersfield,California",2010-07-09,Culex quinquefasciatus
MH508008.1,West Nile virus,"USA: Bakersfield,California",2010-07-28,Culex quinquefasciatus
MH508009.1,West Nile virus,"USA: Arvin,California",2010-08-18,Culex tarsalis
MH508010.1,West Nile virus,"USA: Arvin,California",2010-08-25,Culex tarsalis
MH508011.1,West Nile virus,"USA: Shafter,California",2010-09-02,Culex quinquefasciatus
MH508012.1,West Nile virus,"USA: Shafter,California",2010-09-30,Culex quinquefasciatus
MH508013.1,West Nile virus,"USA: Buttonwillow,California",2010-10-05,Culex quinquefasciatus
MH508014.1,West Nile virus,"USA: Bakersfield,California",2011-06-08,Culex tarsalis
MH508015.1,West Nile virus,"USA: Bakersfield,California",2011-07-07,Culex tarsalis
MH508016.1,West Nile virus,"USA: Shafter,California",2011-07-08,Culex tarsalis
MH508017.1,West Nile virus,"USA: Bakersfield,California",2011-07-13,Culex tarsalis
MH508018.1,West Nile virus,"USA: Bakersfield,California",2011-07-13,Culex tarsalis
MH508019.1,West Nile virus,"USA: Bakersfield,California",2011-07-13,Culex tarsalis
MH508020.1,West Nile virus,"USA: Bakersfield,California",2011-07-13,Culex tarsalis
MH508021.1,West Nile virus,"USA: Bakersfield,California",2011-07-13,Culex tarsalis
MH508022.1,West Nile virus,"USA: Bakersfield,California",2011-07-15,Culex quinquefasciatus
MH508023.1,West Nile virus,"USA: Bakersfield,California",2011-07-27,Culex quinquefasciatus
MH508024.1,West Nile virus,"USA: Arvin,California",2011-08-04,Culex tarsalis
MH508025.1,West Nile virus,"USA: Arvin,California",2011-08-04,Culex tarsalis
MH508026.1,West Nile virus,"USA: Arvin,California",2011-08-18,Culex tarsalis
MH508027.1,West Nile virus,"USA: Bakersfield,California",2012-06-19,Culex quinquefasciatus
MH508028.1,West Nile virus,"USA: Bakersfield,California",2012-07-02,Culex quinquefasciatus
MH508029.1,West Nile virus,"USA: Bakersfield,California",2012-07-18,Culex tarsalis
MH508030.1,West Nile virus,"USA: Bakersfield,California",2012-07-19,Culex quinquefasciatus
MH508031.1,West Nile virus,"USA: Greenacres,California",2012-07-19,Culex quinquefasciatus
MH508032.1,West Nile virus,"USA: Bakersfield,California",2014-07-18,Culex quinquefasciatus
MH508033.1,West Nile virus,"USA: Arvin,California",2015-07-28,Culex tarsalis
MH508034.1,West Nile virus,"USA: Bakersfield,California",2015-08-28,Culex quinquefasciatus
MH508035.1,West Nile virus,"USA: Buttonwillow,California",2016-07-26,Culex tarsalis
MH508036.1,West Nile virus,"USA: Delano,California",2016-07-28,Culex quinquefasciatus
MH508037.1,West Nile virus,"USA: Bakersfield,California",2017-06-28,Culex quinquefasciatus
MH508038.1,West Nile virus,"USA: Buttonwillow,California",2017-06-28,Culex tarsalis
MH986055.1,West Nile virus,Germany,2018,Turdus merula
MH986056.1,West Nile virus,Germany,2018,Turdus merula
KU573077.1,West Nile virus,Italy,2008,Pica pica
KU573078.1,West Nile virus,Italy,2009,Culex pipiens
KU573079.1,West Nile virus,Italy,2009,Pica pica
KU573080.1,West Nile virus,Italy,2013,Culex pipiens
KU573081.1,West Nile virus,Italy,2013,Pica pica
KU573082.1,West Nile virus,Italy,2013,Corvus
KU573083.1,West Nile virus,Italy,2013,Culex pipiens
MF175806.1,West Nile virus,USA: Denton Co. TX,2012-09-24,Culex quinquefasciatus
MF175807.1,West Nile virus,USA: Ellis Co. TX,2012-09-21,Culex quinquefasciatus
MF175808.1,West Nile virus,USA: Denton Co. TX,2012-09-19,Culex quinquefasciatus
MF175809.1,West Nile virus,USA: Dallas Co. TX,2012-09-18,Culex quinquefasciatus
MF175810.1,West Nile virus,USA: Tarrant Co. TX,2012-09-17,Culex quinquefasciatus
MF175811.1,West Nile virus,USA: Collin Co. TX,2012-09-12,Culex quinquefasciatus
MF175812.1,West Nile virus,USA: Collin Co. TX,2012-09-05,Culex quinquefasciatus
MF175813.1,West Nile virus,USA: Dallas Co. TX,2012-09-04,Culex quinquefasciatus
MF175814.1,West Nile virus,USA: Denton Co. TX,2012-09-04,Culex quinquefasciatus
MF175815.1,West Nile virus,USA: Dallas Co. TX,2012-10-09,Culex quinquefasciatus
MF175816.1,West Nile virus,USA: Dallas Co. TX,2013-08-27,Culex quinquefasciatus
MF175817.1,West Nile virus,USA: Dallas Co. TX,2013-07-30,Culex quinquefasciatus
MF175818.1,West Nile virus,USA: Dallas Co. TX,2013-09-26,Culex quinquefasciatus
MF175819.1,West Nile virus,USA: Dallas Co. TX,2013-09-11,Culex quinquefasciatus
MF175820.1,West Nile virus,USA: Dallas Co. TX,2013-09-10,Culex quinquefasciatus
MF175821.1,West Nile virus,USA: Dallas Co. TX,2013-08-20,Culex quinquefasciatus
MF175822.1,West Nile virus,USA: Dallas Co. TX,2013-08-20,Culex quinquefasciatus
MF175823.1,West Nile virus,USA: Dallas Co. TX,2013-08-15,Culex quinquefasciatus
MF175824.1,West Nile virus,USA: Dallas Co. TX,2013-08-13,Culex quinquefasciatus
MF175825.1,West Nile virus,USA: Dallas Co. TX,2013-08-13,Culex quinquefasciatus
MF175826.1,West Nile virus,USA: Dallas Co. TX,2013-08-13,Culex quinquefasciatus
MF175827.1,West Nile virus,USA: Dallas Co. TX,2013-08-07,Culex quinquefasciatus
MF175828.1,West Nile virus,USA: Dallas Co. TX,2013-08-08,Culex quinquefasciatus
MF175829.1,West Nile virus,USA: Dallas Co. TX,2013-08-06,Culex quinquefasciatus
MF175830.1,West Nile virus,USA: Montgomery Co. TX,2014-10-14,Culex quinquefasciatus
MF175831.1,West Nile virus,USA: Denton Co. TX,2015-09-22,Culex quinquefasciatus
MF175832.1,West Nile virus,USA: Fort Bend Co. TX,2014-07-22,Culex quinquefasciatus
MF175833.1,West Nile virus,USA: Dallas Co. TX,2015-07-09,Culex quinquefasciatus
MF175834.1,West Nile virus,USA: Montgomery Co. TX,2015-08-11,Culex quinquefasciatus
MF175835.1,West Nile virus,USA: El Paso Co. TX,2014-08-10,Culex tarsalis
MF175836.1,West Nile virus,USA: Montgomery Co. TX,2015-07-08,Culex quinquefasciatus
MF175837.1,West Nile virus,USA: El Paso Co. TX,2014-08-05,Culex tarsalis
MF175838.1,West Nile virus,USA: Montgomery Co. TX,2014-08-18,Culex quinquefasciatus
MF175839.1,West Nile virus,USA: Denton Co. TX,2014-08-28,Culex quinquefasciatus
MF175840.1,West Nile virus,USA: Montgomery Co. TX,2014-07-01,Culex quinquefasciatus
MF175841.1,West Nile virus,USA: Montgomery Co. TX,2015-10-13,Culex quinquefasciatus
MF175842.1,West Nile virus,USA: Travis Co. TX,2014-10-17,Culex quinquefasciatus
MF175843.1,West Nile virus,USA: Denton Co. TX,2015-06-23,Culex quinquefasciatus
MF175844.1,West Nile virus,USA: Montgomery Co. TX,2014-07-21,Culex quinquefasciatus
MF175845.1,West Nile virus,USA: Fort Bend Co. TX,2014-09-16,Culex quinquefasciatus
MF175846.1,West Nile virus,USA: Fort Bend Co. TX,2014-10-16,Culex quinquefasciatus
MF175847.1,West Nile virus,USA: Fort Bend Co. TX,2015-07-28,Culex quinquefasciatus
MF175848.1,West Nile virus,USA: Collin Co. TX,2015-07-27,Culex quinquefasciatus
MF175849.1,West Nile virus,USA: El Paso Co. TX,2015-07-21,Culex quinquefasciatus
MF175850.1,West Nile virus,USA: Dallas Co. TX,2015-07-21,Culex quinquefasciatus
MF175851.1,West Nile virus,USA: Fort Bend Co. TX,2015-08-01,Culex quinquefasciatus
MF175852.1,West Nile virus,USA: Dallas Co. TX,2015-10-21,Culex restuans
MF175853.1,West Nile virus,USA: Denton Co. TX,2014-08-05,Culex quinquefasciatus
MF175854.1,West Nile virus,USA: Williamson Co. TX,2015-10-20,Culex quinquefasciatus
MF175855.1,West Nile virus,USA: Williamson Co. TX,2014-11-04,Culex quinquefasciatus
MF175856.1,West Nile virus,USA: Collin Co. TX,2015-08-10,Culex quinquefasciatus
MF175857.1,West Nile virus,USA: Fort Bend Co. TX,2015-08-11,Culex quinquefasciatus
MF175858.1,West Nile virus,USA: Collin Co. TX,2015-09-22,Culex quinquefasciatus
MF175859.1,West Nile virus,USA: Fort Bend Co. TX,2015-08-05,Culex quinquefasciatus
MF175860.1,West Nile virus,USA: Denton Co. TX,2015-07-22,Culex quinquefasciatus
MF175861.1,West Nile virus,USA: El Paso Co. TX,2015-08-19,Culex tarsalis
MF175862.1,West Nile virus,USA: Montgomery Co. TX,2015-06-09,Culex quinquefasciatus
MF175863.1,West Nile virus,USA: Denton Co. TX,2014-09-04,Culex quinquefasciatus
MF175864.1,West Nile virus,USA: El Paso Co. TX,2014-09-09,Culex tarsalis
MF175865.1,West Nile virus,USA: Montgomery Co. TX,2015-09-16,Culex quinquefasciatus
MF175866.1,West Nile virus,USA: El Paso Co. TX,2014-09-09,Culex tarsalis
MF175867.1,West Nile virus,USA: Fort Bend Co. TX,2015-07-21,Culex quinquefasciatus
MF175868.1,West Nile virus,USA: Montgomery Co. TX,2014-06-03,Culex quinquefasciatus
MF175869.1,West Nile virus,USA: Travis Co. TX,2014-08-07,Culex quinquefasciatus
MF175870.1,West Nile virus,USA: Dallas Co. TX,2015-08-12,Culex quinquefasciatus
MF175871.1,West Nile virus,USA: Travis Co. TX,2014-08-12,Culex quinquefasciatus
MF175872.1,West Nile virus,USA: Dallas Co. TX,2014-09-23,Culex quinquefasciatus
MF175873.1,West Nile virus,USA: Dallas Co. TX,2015-09-08,Culex quinquefasciatus
MF175874.1,West Nile virus,USA: Denton Co. TX,2015-08-19,Culex quinquefasciatus
MF175875.1,West Nile virus,USA: Collin Co. TX,2015-09-22,Culex quinquefasciatus
MF175876.1,West Nile virus,USA: Denton Co. TX,2015-08-19,Culex quinquefasciatus
MF175877.1,West Nile virus,USA: Denton Co. TX,2015-11-11,Culex quinquefasciatus
MH924836.1,West Nile virus,Germany,2018-08-22,Strix nebulosa
MH166885.1,West Nile virus,"USA: VA, Norfolk County",2009,Culicidae
MH166888.1,West Nile virus,"USA: VA, Norfolk County",2005,Culicidae
MH166889.1,West Nile virus,"USA: VA, Norfolk County",2006,Culicidae
MH166890.1,West Nile virus,"USA: VA, Norfolk County",2006,Culicidae
MH166891.1,West Nile virus,"USA: VA, Norfolk County",2007,Culicidae
MH166892.1,West Nile virus,"USA: VA, Norfolk County",2008,Culicidae
MH166893.1,West Nile virus,"USA: VA, Norfolk County",2010,Culicidae
MH166894.1,West Nile virus,"USA: VA, Norfolk County",2007,Culicidae
MH166895.1,West Nile virus,"USA: VA, Norfolk County",2005,Culicidae
MH166896.1,West Nile virus,"USA: VA, Norfolk County",2009,Culicidae
MH166897.1,West Nile virus,"USA: VA, Norfolk County",2010,Culicidae
MH166898.1,West Nile virus,"USA: VA, Norfolk County",2008,Culicidae
MH166902.1,West Nile virus,"USA: VA, Norfolk County",2010,Culicidae
MH166907.1,West Nile virus,"USA: VA, Norfolk County",2006,Culicidae
MH166908.1,West Nile virus,"USA: VA, Norfolk County",2005,Culicidae
MH166909.1,West Nile virus,"USA: VA, Norfolk County",2009,Culicidae
MH166910.1,West Nile virus,"USA: VA, Norfolk County",2006,Culicidae
MH166914.1,West Nile virus,"USA: VA, Norfolk County",2009,Culicidae
MH166916.1,West Nile virus,"USA: VA, Norfolk County",2010,Culicidae
MH166918.1,West Nile virus,"USA: VA, Norfolk County",2008,Culicidae
MH166920.1,West Nile virus,"USA: VA, Norfolk County",2009,Culicidae
MH166921.1,West Nile virus,"USA: VA, Norfolk County",2008,Culicidae
MH170229.1,West Nile virus,"USA: CO, Weld County",2006,Culicidae
MH170230.1,West Nile virus,"USA: CO, Weld County",2007,Culicidae
MH170232.1,West Nile virus,"USA: CO, Weld County",2006,Culicidae
MH170235.1,West Nile virus,"USA: CO, Weld County",2006,Culicidae
MH170236.1,West Nile virus,"USA: CO, Weld County",2006,Culicidae
MH170239.1,West Nile virus,"USA: CO, Weld County",2006,Culex tarsalis
MH170240.1,West Nile virus,"USA: CO, Wellington, Larimer County",2008,Culex tarsalis
MH170241.1,West Nile virus,"USA: CO, Weld County",2007,Culex tarsalis
MH170242.1,West Nile virus,USA: CO,2007,Culicidae
MH170243.1,West Nile virus,"USA: CO, Weld County",2006,Culex tarsalis
MH170244.1,West Nile virus,"USA: CO, Weld County",2007,Culex tarsalis
MH170245.1,West Nile virus,"USA: CO, Wellington, Larimer County",2008,Culex tarsalis
MH170247.1,West Nile virus,"USA: CO, Wellington, Larimer County",2008,Culex tarsalis
MH170249.1,West Nile virus,"USA: CO, Weld County",2006,Culex tarsalis
MH170250.1,West Nile virus,"USA: CO, Wellington, Larimer County",2008,Culex tarsalis
MH170251.1,West Nile virus,"USA: CO, Weld County",2007,Culex tarsalis
MH170252.1,West Nile virus,"USA: CO, Weld County",2007,Culex tarsalis
MH170253.1,West Nile virus,"USA: CO, Wellington, Larimer County",2008,Culex pipiens
MH170255.1,West Nile virus,"USA: CO, Scarborough Forth Collins",2008,Culex pipiens
MH170257.1,West Nile virus,"USA: GA, Lawnder County",2005,Culex nigripalpus
MH170258.1,West Nile virus,"USA: GA, Garden City, Chatham",2007,Culex quinquefasciatus
MH170259.1,West Nile virus,"USA: GA, Atlanta, Fulton County",2009,Culex quinquefasciatus
MH170260.1,West Nile virus,"USA: GA, Atlanta, Fulton County",2009,Culex quinquefasciatus
MH170261.1,West Nile virus,"USA: GA, Decatur, Dekalb County",2008,Culex quinquefasciatus
MH170262.1,West Nile virus,"USA: GA, Valdasta, Lowndes",2009,Culex quinquefasciatus
MH170266.1,West Nile virus,"USA: GA, Atlanta, Fulton County",2007,Culex quinquefasciatus
MH170267.1,West Nile virus,"USA: GA, Norcross, Gwinnett",2007,Cyanocitta cristata
MH170268.1,West Nile virus,"USA: GA, Savannah, Chatham",2007,Cyanocitta cristata
MH170269.1,West Nile virus,"USA: GA, Dekalb County",2005,Cyanocitta cristata
MH170271.1,West Nile virus,"USA: GA, Decatur, Dekalb County",2008,Culex
MH170272.1,West Nile virus,"USA: GA, Garden City, Chatham",2007,Culex
MH244510.1,West Nile virus,Slovakia: Velky Biel,2014,Accipiter gentilis
MH244511.1,West Nile virus,Slovakia: Velky Biel,2013,Accipiter gentilis
MH244512.1,West Nile virus,Slovakia: Velky Biel,2013,Accipiter gentilis
MH244513.1,West Nile virus,Slovakia: Secovce,2013,Accipiter nisus
MF984344.1,West Nile virus,Austria,2015,Accipiter gentilis
MF984345.1,West Nile virus,Austria,2015,Falco
MF984349.1,West Nile virus,Austria,2016,Equus caballus
MF984350.1,West Nile virus,Austria,2016,Equus caballus
MF984351.1,West Nile virus,Austria,2016,Culex pipiens
MF984352.1,West Nile virus,Austria,2016,Culex pipiens
LC318700.1,West Nile virus,Zambia:Mongu district,2016-05-16,Culex quinquefasciatus
MG004528.1,West Nile virus,USA: AZ,2015-06-09,Culex tarsalis
MG004529.1,West Nile virus,USA: AZ,2014-06-26,Culex quinquefasciatus
MG004530.1,West Nile virus,USA: AZ,2016-10-20,Culex tarsalis
MG004531.1,West Nile virus,USA: AZ,2016-05-11,Culex tarsalis
MG004532.1,West Nile virus,USA: AZ,2015-08-05,Culex quinquefasciatus
MG004533.1,West Nile virus,USA: AZ,2014-06-03,Culex quinquefasciatus
MG004534.1,West Nile virus,USA: AZ,2016-06-28,Culex quinquefasciatus
MG004535.1,West Nile virus,USA: AZ,2014-07-22,Culex tarsalis
MG004536.1,West Nile virus,USA: AZ,2016-08-25,Culex quinquefasciatus
MG004537.1,West Nile virus,USA: AZ,2014-08-28,Culex quinquefasciatus
MG004538.1,West Nile virus,USA: AZ,2015-10-07,Culex quinquefasciatus
MG004539.1,West Nile virus,USA: AZ,2014-06-10,Culex quinquefasciatus
MG004540.1,West Nile virus,USA: AZ,2015-05-12,Culex quinquefasciatus
MG004541.1,West Nile virus,USA: AZ,2017-04-26,Culex quinquefasciatus
KT862843.1,West Nile virus,"USA: Texas, Harris County",2010-09-08,Cyanocitta cristata
KT862844.1,West Nile virus,"USA: Texas, Harris County",2011-08-29,Corvus brachyrhynchos
KY523178.1,West Nile virus,Uganda: Queen Elizabeth National Park,2009-06,Culex neavei
KY216149.1,West Nile virus,USA,2012-06-20,Culex pipiens
KY216150.1,West Nile virus,USA,2012-07-11,Culex pipiens
KY216151.1,West Nile virus,USA,2012-07-17,Culex pipiens
KY216152.1,West Nile virus,USA,2012-07-17,Culex pipiens
KY216153.1,West Nile virus,USA,2012-07-25,Culex pipiens
KY216154.1,West Nile virus,USA,2012-07-25,Culex pipiens
KY216155.1,West Nile virus,USA,2012-07-31,Culex pipiens
KY229067.1,West Nile virus,USA,2012-07-31,Culex pipiens
KY229068.1,West Nile virus,USA,2012-08-01,Culex pipiens
KY229069.1,West Nile virus,USA,2012-08-07,Culex pipiens
KY229070.1,West Nile virus,USA,2012-08-09,Culex pipiens
KY229071.1,West Nile virus,USA,2012-08-07,Culex pipiens
KY229072.1,West Nile virus,USA,2012-08-14,Culex pipiens
KY229073.1,West Nile virus,USA,2012-08-21,Culex pipiens
KY229074.1,West Nile virus,USA,2012-08-21,Culex pipiens
KU978766.1,West Nile virus,Colombia,2008-07,Phoenicopterus ruber
KT757318.1,West Nile virus,Serbia,2013,Culex pipiens
KT757319.1,West Nile virus,Serbia,2013,Culex pipiens
KT757320.1,West Nile virus,Serbia,2013,Culex pipiens
KT757321.1,West Nile virus,Serbia,2013,Culex pipiens
KT757322.1,West Nile virus,Serbia,2013,Culex pipiens
KT757323.1,West Nile virus,Serbia,2013,Culex pipiens
KX394382.1,West Nile virus,Australia,2011,Culex annulirostris
KX547164.1,West Nile virus,"USA: Nassau Co., NY",2006-09-08,Culex
KX547165.1,West Nile virus,"USA: Broome Co., NY",2005-09-10,Cyanocitta cristata
KX547167.1,West Nile virus,"USA: Onondaga Co., NY",2013-09-04,Culiseta
KX547168.1,West Nile virus,"USA: Albany Co., NY",2012-09-27,Haemorhous mexicanus
KX547169.1,West Nile virus,"USA: Oswego Co., NY",2015-09-02,Culiseta
KX547171.1,West Nile virus,"USA: Oneida Co., NY",2011-08-03,Culiseta
KX547172.1,West Nile virus,"USA: Greene Co., NY",2009-09-02,Corvus ossifragus
KX547173.1,West Nile virus,"USA: Orleans Co., NY",2005-08-31,Corvus brachyrhynchos
KX547174.1,West Nile virus,"USA: Westchester Co., NY",2013-07-16,Culex
KX547175.1,West Nile virus,"USA: Suffolk Co., NY",2008-07-10,Culex
KX547177.1,West Nile virus,"USA: Rockland Co., NY",2012-07-06,Culex
KX547180.1,West Nile virus,"USA: Oswego Co., NY",2006-09-07,Corvus brachyrhynchos
KX547183.1,West Nile virus,"USA: Westchester Co., NY",2008-07-22,Culex
KX547184.1,West Nile virus,"USA: Onondaga Co., NY",2013-08-28,Culex
KX547185.1,West Nile virus,"USA: Erie Co., NY",2012-09-06,Culex
KX547186.1,West Nile virus,"USA: Nassau Co., NY",2008-07-08,Culex
KX547187.1,West Nile virus,"USA: Albany Co., NY",2008-08-28,Corvus brachyrhynchos
KX547190.1,West Nile virus,"USA: Nassau Co., NY",2013-07-12,Culex
KX547191.1,West Nile virus,"USA: Dutchess Co., NY",2008-08-07,Culex
KX547192.1,West Nile virus,"USA: Oneida Co., NY",2011-08-24,Culiseta
KX547193.1,West Nile virus,"USA: Nassau Co., NY",2005-10-07,Culex
KX547195.1,West Nile virus,"USA: Bronx Co., NY",2007-09-19,Corvus brachyrhynchos
KX547196.1,West Nile virus,"USA: Nassau Co., NY",2013-09-17,Culex
KX547198.1,West Nile virus,"USA: Onondaga Co., NY",2012-08-28,Culiseta
KX547199.1,West Nile virus,"USA: Suffolk Co., NY",2005-07-20,Culex
